lon,lat,value
120.0,21.88,1.0
120.03,21.88,-8.0
120.06,21.88,0.1
120.09,21.88,39157.0
120.12,21.88,4.0
120.15,21.88,-9871.0
120.18,21.88,-11.0
120.21,21.88,0.0
120.24,21.88,643.0
120.27,21.88,-2.0
120.3,21.88,44.0
120.33,21.88,85440.0
120.36,21.88,2025.0
120.39,21.88,-9.0
120.42,21.88,-23.0
120.45,21.88,19.0
120.48,21.88,38.0
120.51,21.88,29.0
120.54,21.88,8.0
120.57,21.88,0.0
120.6,21.88,38.0
120.63,21.88,-3.0
120.66,21.88,120.0
120.69,21.88,21.88
120.72,21.88,121.98
120.75,21.88,25.45
120.78,21.88,2025.0
120.81,21.88,-9.0
120.84,21.88,-23.0
120.87,21.88,19.0
120.9,21.88,0.0
120.93,21.88,0.0
120.96,21.88,8.0
120.99,21.88,0.0
121.02,21.88,67.0
121.08,21.88,0.03
121.11,21.88,1.0
121.14,21.88,120.0
121.17,21.88,21.88
121.2,21.88,67.0
121.23,21.88,120.0
121.26,21.88,67.0
121.29,21.88,120.0
121.35,21.88,0.0
121.41,21.88,0.0
121.47,21.88,0.0
121.53,21.88,0.0
121.59,21.88,0.0
121.65,21.88,0.0
121.71,21.88,0.0
121.77,21.88,0.0
121.83,21.88,0.0
121.89,21.88,0.0
121.95,21.88,0.0
120.0,21.91,0.0
120.06,21.91,0.0
120.12,21.91,0.0
120.18,21.91,0.0
120.24,21.91,0.0
120.3,21.91,0.0
120.36,21.91,0.0
120.42,21.91,0.0
120.48,21.91,0.0
120.54,21.91,0.0
120.6,21.91,0.0
120.66,21.91,0.0
120.72,21.91,0.0
120.78,21.91,0.0
120.84,21.91,0.0
120.9,21.91,0.0
120.96,21.91,0.0
121.02,21.91,0.0
121.08,21.91,0.0
121.14,21.91,0.0
121.2,21.91,0.0
121.26,21.91,0.0
121.32,21.91,0.0
121.38,21.91,0.0
121.44,21.91,0.0
121.5,21.91,0.0
121.56,21.91,0.0
121.62,21.91,0.0
121.68,21.91,0.0
121.74,21.91,0.0
121.8,21.91,0.0
121.86,21.91,0.0
121.92,21.91,0.0
121.98,21.91,0.0
120.03,21.939999999999998,0.0
120.09,21.939999999999998,0.0
120.15,21.939999999999998,0.0
120.21,21.939999999999998,0.0
120.27,21.939999999999998,0.0
120.33,21.939999999999998,0.0
120.39,21.939999999999998,0.0
120.45,21.939999999999998,0.0
120.51,21.939999999999998,0.0
120.57,21.939999999999998,0.0
120.63,21.939999999999998,0.0
120.69,21.939999999999998,0.0
120.75,21.939999999999998,0.0
120.81,21.939999999999998,0.0
120.87,21.939999999999998,0.0
120.93,21.939999999999998,0.0
120.99,21.939999999999998,0.0
121.05,21.939999999999998,0.0
121.11,21.939999999999998,0.0
121.17,21.939999999999998,0.0
121.23,21.939999999999998,0.0
121.29,21.939999999999998,0.0
121.35,21.939999999999998,0.0
121.41,21.939999999999998,0.0
121.47,21.939999999999998,0.0
121.53,21.939999999999998,0.0
121.59,21.939999999999998,0.0
121.65,21.939999999999998,0.0
121.71,21.939999999999998,0.0
121.77,21.939999999999998,0.0
121.83,21.939999999999998,0.0
121.89,21.939999999999998,0.0
121.95,21.939999999999998,0.0
120.0,21.97,0.0
120.06,21.97,0.0
120.12,21.97,0.0
